,company,salary,title
56,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
57,US Department of the Air Force,,Engineering/Architecture
58,Lewis Energy Group,,Intern
59,Phillips 66,,"Scientist, Lubricants Research & Development"
60,CVR Energy,,Intern
61,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
62,KeyLogic Systems,,Energy Analysis Internship
63,VAM USA,,(R&D) Project/Methods Engineer Intern
64,US Department of the Air Force,,Engineering/Architecture
65,TechnipFMC,,Electronic Hardware Engineering Intern
66,Penn State University,,Postdoctoral Scholar
67,Honeywell,,R&D Engr/Scientist I
68,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
69,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
70,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
71,National Oilwell Varco,,"Regional Support Engineer, North America"
72,PinnacleART,,Engineering Intern
73,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
74,The University of Mississippi,,Assistant/Associate Professor of Geological Engineering
75,Shell,,Exploration Geoscientist
76,Phillips 66,,Instrument Technician - Alliance Refinery
77,Penn Virginia Corporation,,Production/Facilities Engineer
78,Weatherford,,Production Engineer
79,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
80,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
81,Discovery Natural Resources LLC,,Facilities Engineer
82,American Journal Experts (AJE),,Independent Contract Editor--Engineering
83,Citgo,,Associate Mechanical Engineer
84,Phillips 66,,Analyzer Technician - Alliance Refinery
85,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
86,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
87,US Department of the Air Force,,Engineering/Architecture
88,Lewis Energy Group,,Intern
89,Phillips 66,,"Scientist, Lubricants Research & Development"
90,Phillips 66,,Instrument Technician - Alliance Refinery
91,Penn Virginia Corporation,,Production/Facilities Engineer
92,Weatherford,,Production Engineer
93,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
94,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
95,Discovery Natural Resources LLC,,Facilities Engineer
96,American Journal Experts (AJE),,Independent Contract Editor--Engineering
97,Citgo,,Associate Mechanical Engineer
98,Phillips 66,,Analyzer Technician - Alliance Refinery
99,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
100,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
101,US Department of the Air Force,,Engineering/Architecture
102,Lewis Energy Group,,Intern
103,Phillips 66,,"Scientist, Lubricants Research & Development"
104,INEOS Olefins & Polymers USA,,Inspector
105,Weatherford,,Production Engineer
106,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
107,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
108,Discovery Natural Resources LLC,,Facilities Engineer
109,American Journal Experts (AJE),,Independent Contract Editor--Engineering
110,Citgo,,Associate Mechanical Engineer
111,Phillips 66,,Analyzer Technician - Alliance Refinery
112,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
113,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
114,US Department of the Air Force,,Engineering/Architecture
115,Lewis Energy Group,,Intern
116,Phillips 66,,"Scientist, Lubricants Research & Development"
117,INEOS Olefins & Polymers USA,,Inspector
118,Apache Corporation,,Engineer Drilling Sr
119,U.S. SILICA,,Process Engineer
120,CVR Energy,,Intern
121,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
122,KeyLogic Systems,,Energy Analysis Internship
123,VAM USA,,(R&D) Project/Methods Engineer Intern
124,US Department of the Air Force,,Engineering/Architecture
125,TechnipFMC,,Electronic Hardware Engineering Intern
126,Penn State University,,Postdoctoral Scholar
127,Honeywell,,R&D Engr/Scientist I
128,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
129,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
130,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
131,Airswift,$50 - $75 an hour,
132,National Oilwell Varco,,"Regional Support Engineer, North America"
133,PinnacleART,,Engineering Intern
134,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
135,Hargrove Engineers + Constructors,,Process Engineer - Entry Level
136,KeyLogic Systems,,Energy Analysis Internship
137,VAM USA,,(R&D) Project/Methods Engineer Intern
138,US Department of the Air Force,,Engineering/Architecture
139,TechnipFMC,,Electronic Hardware Engineering Intern
140,Penn State University,,Postdoctoral Scholar
141,Honeywell,,R&D Engr/Scientist I
142,Oak Ridge National Laboratory,,R&D Associate Staff Member in Synthetic Biology and Metaboli...
143,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
144,Marathon Petroleum Corporation,,"Maintenance Mechanic (Kingfisher, OK)"
145,National Oilwell Varco,,"Regional Support Engineer, North America"
146,PinnacleART,,Engineering Intern
147,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
148,The University of Mississippi,,Assistant/Associate Professor of Geological Engineering
149,American Journal Experts (AJE),,Independent Contract Editor--Engineering
150,Phillips 66,,Instrument Technician - Alliance Refinery
151,Penn Virginia Corporation,,Production/Facilities Engineer
152,Weatherford,,Production Engineer
153,The University of Pittsburgh,,Faculty Professor Associate- Full Time/Chemical and Petroleu...
154,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
155,Discovery Natural Resources LLC,,Facilities Engineer
156,American Journal Experts (AJE),,Independent Contract Editor--Engineering
157,Citgo,,Associate Mechanical Engineer
158,Phillips 66,,Analyzer Technician - Alliance Refinery
159,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
160,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
161,US Department of the Air Force,,Engineering/Architecture
162,Lewis Energy Group,,Intern
163,Phillips 66,,"Scientist, Lubricants Research & Development"
164,INEOS Olefins & Polymers USA,,Inspector
165,Apache Corporation,,Engineer Drilling Sr
166,U.S. SILICA,,Process Engineer
167,Collarini Energy Experts,,Reservoir Engineer
168,Team Inc.,,UR - Engineering - Intern
169,Oklahoma State University,,Post Doctoral Fellow
170,"Team Industrial Services, Inc.",,UR - Engineering - FT
171,Occidental Petroleum Corporation,,Production Engineer
172,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
173,Englobal Master,,VICE PRESIDENT
174,Occidental Petroleum Corporation,,Chemical Operator
175,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
176,Exponent,,Thermal Sciences Engineers
177,Marathon Petroleum Corporation,,"Pipeline Operator - Carlsbad, NM"
178,Nabors Industries,,MPD Field Engineer
179,Weston Solutions,,Engineering Associate 2
180,INEOS Olefins & Polymers USA,,Inspector
181,Apache Corporation,,Engineer Drilling Sr
182,U.S. SILICA,,Process Engineer
183,Collarini Energy Experts,,Reservoir Engineer
184,Team Inc.,,UR - Engineering - Intern
185,Oklahoma State University,,Post Doctoral Fellow
186,"Team Industrial Services, Inc.",,UR - Engineering - FT
187,Occidental Petroleum Corporation,,Production Engineer
188,Englobal Master,,VICE PRESIDENT
189,Occidental Petroleum Corporation,,Chemical Operator
190,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
191,Exponent,,Thermal Sciences Engineers
192,Marathon Petroleum Corporation,,"Pipeline Operator - Carlsbad, NM"
193,Nabors Industries,,MPD Field Engineer
194,Weston Solutions,,Engineering Associate 2
195,Apache Corporation,,Engineer Drilling Sr
196,U.S. SILICA,,Process Engineer
197,Collarini Energy Experts,,Reservoir Engineer
198,Team Inc.,,UR - Engineering - Intern
199,Oklahoma State University,,Post Doctoral Fellow
200,"Team Industrial Services, Inc.",,UR - Engineering - FT
201,Occidental Petroleum Corporation,,Production Engineer
202,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
203,Englobal Master,,VICE PRESIDENT
204,Occidental Petroleum Corporation,,Chemical Operator
205,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
206,Exponent,,Thermal Sciences Engineers
207,Marathon Petroleum Corporation,,"Pipeline Operator - Carlsbad, NM"
208,Nabors Industries,,MPD Field Engineer
209,Weston Solutions,,Engineering Associate 2
210,American Journal Experts (AJE),,Independent Contract Editor--Engineering
211,SD School of Mines,,Assistant Professor of Geological Engineering
212,Exponent,,Thermal Sciences Engineers
213,Citgo,,CC Mechanical Engineer Intern
214,Marathon Petroleum Corporation,,Designer/Drafter
215,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
216,Citgo,,CC Electrical Engineer Intern
217,Killam,,Senior Petroleum Engineer
218,Phillips 66,,"Scientist, Lubricants Research & Development"
219,TechnipFMC,,Software Engineering Intern
220,Phillips 66,,Data Scientist
221,Collarini Energy Experts,,Reservoir Engineer
222,DeGolyer and MacNaughton,,Senior Completion Engineer –
223,DNV GL AS,,Summer Engineering Intern - Pipeline Hydraulics Consulting (...
224,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
225,Bennett Pump Company,,Software Engineer
226,Reid Petroleum,,Network Specialist
227,Terra Engineering & Construction Corporation,,Payroll Administrator
228,Kiely Family of Companies,,
229,Discovery Natural Resources LLC,,Facilities Engineer
230,American Journal Experts (AJE),,Independent Contract Editor--Engineering
231,Citgo,,Associate Mechanical Engineer
232,Phillips 66,,Analyzer Technician - Alliance Refinery
233,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
234,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
235,US Department of the Air Force,,Engineering/Architecture
236,Lewis Energy Group,,Intern
237,Phillips 66,,"Scientist, Lubricants Research & Development"
238,INEOS Olefins & Polymers USA,,Inspector
239,Lamberti Synthesis USA,"$42,000 - $50,000 a year",Process Technician
240,Gevo Inc.,,Plant Process Engineer
241,RDM Industrial Electronics,$18.55 - $25.14 an hour,Electronics Technician
242,Airswift,$50 - $75 an hour,
243,DeGolyer and MacNaughton,,Senior Completion Engineer –
244,DNV GL AS,,Summer Engineering Intern - Pipeline Hydraulics Consulting (...
245,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
246,Barrios Technology,,Test Engineer - Entry Level (Temporary)
247,Team Inc.,,UR - Engineering - Intern
248,Clariant,,Technical Service Engineer
249,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
250,Apache Corporation,,Engineer Reservoir III
251,Kinder Morgan,,Director of Engineering Project Management
252,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
253,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
254,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
255,Phillips 66,,Technician - Renewables
256,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
257,Killam,,Senior Petroleum Engineer
258,Citgo,,CC Electrical Engineer Intern
259,Pioneer Natural Resources Company,,DOUBLEPOINT EMPLOYEE ONLY - Operations Engineering Superviso...
260,Phillips 66,,"Scientist, Lubricants Research & Development"
261,Phillips 66,,Data Scientist
262,TechnipFMC,,Software Engineering Intern
263,DeGolyer and MacNaughton,,Senior Completion Engineer –
264,DNV GL AS,,Summer Engineering Intern - Pipeline Hydraulics Consulting (...
265,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
266,Barrios Technology,,Test Engineer - Entry Level (Temporary)
267,Team Inc.,,UR - Engineering - Intern
268,Clariant,,Technical Service Engineer
269,AVEVA,,Senior Simulation Engineer
270,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
271,Apache Corporation,,Engineer Reservoir III
272,Apache Corporation,,Engineer Drilling Sr
273,U.S. SILICA,,Process Engineer
274,Collarini Energy Experts,,Reservoir Engineer
275,Team Inc.,,UR - Engineering - Intern
276,Oklahoma State University,,Post Doctoral Fellow
277,"Team Industrial Services, Inc.",,UR - Engineering - FT
278,Occidental Petroleum Corporation,,Production Engineer
279,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
280,Englobal Master,,VICE PRESIDENT
281,Occidental Petroleum Corporation,,Chemical Operator
282,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
283,Exponent,,Thermal Sciences Engineers
284,Marathon Petroleum Corporation,,"Pipeline Operator - Carlsbad, NM"
285,Nabors Industries,,MPD Field Engineer
286,Weston Solutions,,Engineering Associate 2
287,Apache Corporation,,Engineer Drilling Sr
288,U.S. SILICA,,Process Engineer
289,Collarini Energy Experts,,Reservoir Engineer
290,Team Inc.,,UR - Engineering - Intern
291,Oklahoma State University,,Post Doctoral Fellow
292,"Team Industrial Services, Inc.",,UR - Engineering - FT
293,Occidental Petroleum Corporation,,Production Engineer
294,Stony Creek Colors,"$65,000 - $85,000 a year",Plant Breeder
295,Englobal Master,,VICE PRESIDENT
296,Occidental Petroleum Corporation,,Chemical Operator
297,CPA Global Limited,,Patent Analyst - Chemistry (Remote Contractor)
298,Exponent,,Thermal Sciences Engineers
299,Marathon Petroleum Corporation,,"Pipeline Operator - Carlsbad, NM"
300,Nabors Industries,,MPD Field Engineer
301,Weston Solutions,,Engineering Associate 2
302,Barrios Technology,,Test Engineer - Entry Level (Temporary)
303,Team Inc.,,UR - Engineering - Intern
304,Clariant,,Technical Service Engineer
305,AVEVA,,Senior Simulation Engineer
306,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
307,Apache Corporation,,Engineer Reservoir III
308,Kinder Morgan,,Director of Engineering Project Management
309,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
310,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
311,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
312,Phillips 66,,Technician - Renewables
313,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
314,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
315,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
316,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
317,Apache Corporation,,Engineer Reservoir III
318,Gardner Denver Petroleum,,Development Engineer/Sustaining
319,"Team Industrial Services, Inc.",,University - Engineering - Intern
320,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
321,TC Energy,,Well Engineer
322,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
323,CVR Energy,,Intern
324,"Applied Research Associates, Inc",,Engineering Aide
325,Phillips 66,,Data Scientist
326,Kinder Morgan,,Operator 12
327,Piper Sandler,,E&P Engineer
328,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
329,Gardner Denver Petroleum,,Development Engineer
330,Extract,"$86,000 - $121,635 a year",Reliability Engineer
331,Diakon Solutions,"$75,000 - $83,000 a year",Associate Engineer/Chemist
332,Team Inc.,,UR - Engineering - Intern
333,Clariant,,Technical Service Engineer
334,Phillips 66,,Technician - Renewables
335,AVEVA,,Senior Simulation Engineer
336,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
337,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
338,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
339,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
340,Saint-Gobain,,Principal Scientist- Asphalt
341,Phillips 66,,Technician - Analytical Sciences
342,Apache Corporation,,Engineer Reservoir III
343,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
344,Kinder Morgan,,Director of Engineering Project Management
345,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
346,Phillips 66,,Instrument Technician - Alliance Refinery
347,Team Inc.,,UR - Engineering - Intern
348,Clariant,,Technical Service Engineer
349,AVEVA,,Senior Simulation Engineer
350,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
351,Apache Corporation,,Engineer Reservoir III
352,Kinder Morgan,,Director of Engineering Project Management
353,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
354,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
355,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
356,Phillips 66,,Technician - Renewables
357,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
358,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
359,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
360,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
361,Gardner Denver Petroleum,,Development Engineer
362,Weston Solutions,,Engineering Associate 2
363,Apache Corporation,,Engineer Reservoir III
364,Gardner Denver Petroleum,,Development Engineer/Sustaining
365,"Team Industrial Services, Inc.",,University - Engineering - Intern
366,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
367,TC Energy,,Well Engineer
368,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
369,CVR Energy,,Intern
370,"Applied Research Associates, Inc",,Engineering Aide
371,Phillips 66,,Data Scientist
372,Kinder Morgan,,Operator 12
373,Piper Sandler,,E&P Engineer
374,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
375,Gardner Denver Petroleum,,Development Engineer
376,Extract,"$86,000 - $121,635 a year",Reliability Engineer
377,Piper Sandler,,E&P Engineer
378,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
379,Gardner Denver Petroleum,,Development Engineer
380,Extract,"$86,000 - $121,635 a year",Reliability Engineer
381,Diakon Solutions,"$75,000 - $83,000 a year",Associate Engineer/Chemist
382,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
383,SPATCO ENERGY SOLUTIONS LLC,,Petroleum Sales Representative
384,Bolivar Trading,,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV."
385,Testengeer Incorporated,$24 - $45 an hour,Chemical Engineer
386,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
387,VAM USA,,(R&D) Project/Methods Engineer Intern
388,Honeywell,,Chemical Operator - Level 1
389,TechnipFMC,,Electronic Hardware Engineering Intern
390,Occidental Petroleum Corporation,,Safety Superintendent
391,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
392,Weston Solutions,,Engineering Associate 2
393,Apache Corporation,,Engineer Reservoir III
394,Gardner Denver Petroleum,,Development Engineer/Sustaining
395,"Team Industrial Services, Inc.",,University - Engineering - Intern
396,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
397,TC Energy,,Well Engineer
398,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
399,CVR Energy,,Intern
400,"Applied Research Associates, Inc",,Engineering Aide
401,Phillips 66,,Data Scientist
402,Kinder Morgan,,Operator 12
403,Piper Sandler,,E&P Engineer
404,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
405,Gardner Denver Petroleum,,Development Engineer
406,Extract,"$86,000 - $121,635 a year",Reliability Engineer
407,Team Inc.,,UR - Engineering - Intern
408,Clariant,,Technical Service Engineer
409,AVEVA,,Senior Simulation Engineer
410,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
411,Apache Corporation,,Engineer Reservoir III
412,Kinder Morgan,,Director of Engineering Project Management
413,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
414,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
415,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
416,Phillips 66,,Technician - Renewables
417,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
418,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
419,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
420,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
421,Gardner Denver Petroleum,,Development Engineer
422,Barrios Technology,,Test Engineer - Entry Level (Temporary)
423,Team Inc.,,UR - Engineering - Intern
424,Clariant,,Technical Service Engineer
425,AVEVA,,Senior Simulation Engineer
426,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
427,Apache Corporation,,Engineer Reservoir III
428,Kinder Morgan,,Director of Engineering Project Management
429,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
430,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
431,Marathon Petroleum Corporation,,Intern/Co-op - Information Technology (2020-2021)
432,Phillips 66,,Technician - Renewables
433,US Department of the Navy,"$105,224 - $136,791 a year",SUPERVISORY ENGINEERING TECHNICIAN
434,US Department of Justice,"$74,334 - $96,640 a year",Engineering Technician
435,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
436,Johnson Controls,,"Staff Pressure Vessel Code Engineer, Remote position"
437,CVR Energy,,Intern
438,"Applied Research Associates, Inc",,Engineering Aide
439,Phillips 66,,Data Scientist
440,Kinder Morgan,,Operator 12
441,Piper Sandler,,E&P Engineer
442,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
443,Gardner Denver Petroleum,,Development Engineer
444,Extract,"$86,000 - $121,635 a year",Reliability Engineer
445,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
446,SPATCO ENERGY SOLUTIONS LLC,,Petroleum Sales Representative
447,Bolivar Trading,,"SALES REPRESENTATIVE, PETROLEUM EQUIPMENT DIV."
448,Testengeer Incorporated,$24 - $45 an hour,Chemical Engineer
449,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
450,VAM USA,,(R&D) Project/Methods Engineer Intern
451,Honeywell,,Chemical Operator - Level 1
452,Phillips 66,,Instrument Technician - Alliance Refinery
453,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
454,BayoTech,,Sr. Scientist – Heat Transfer Expert
455,Gardner Denver Petroleum,,Development Engineer
456,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
457,Oklahoma State University,,Assistant Professor
458,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
459,International United Technology Group,,Fracturing engineer
460,HDR,,Mechanical EIT/Designer
461,Axens North America,,Technology Engineer
462,Aveva,,Senior Simulation Engineer - Practices
463,International United Technology Group,,Reservoir engineer
464,S&P Global,"$46,200 - $155,900 a year","Analyst, Carbon Analytics"
465,"UGI Energy Services, LLC",$33 - $40 an hour,Pipeline Integrity & Corrosioin Engineer and/or Specialist
466,Occidental Petroleum Corporation,,Drafting/Designer
467,Phillips 66,,Instrument Technician - Alliance Refinery
468,Axens North America,,Technology Engineer
469,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
470,Phillips 66,,Technician - Analytical Sciences
471,Occidental Petroleum Corporation,,Drafting/Designer
472,HDR,,Mechanical EIT/Designer
473,Saint-Gobain,,Principal Scientist- Asphalt
474,"UGI Energy Services, LLC",$33 - $40 an hour,Pipeline Integrity & Corrosioin Engineer and/or Specialist
475,Oklahoma State University,,Assistant Professor
476,Aveva,,Senior Simulation Engineer - Practices
477,International United Technology Group,,Fracturing engineer
478,Energy Transfer Family of Partnerships,,Sr Engineer - Pipeline Integrity
479,BayoTech,,Sr. Scientist – Heat Transfer Expert
480,International United Technology Group,,Reservoir engineer
481,S&P Global,"$46,200 - $155,900 a year","Analyst, Carbon Analytics"
482,Gardner Denver Petroleum,,Development Engineer
483,Phillips 66,,Instrument Technician - Alliance Refinery
484,Axens North America,,Technology Engineer
485,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
486,Phillips 66,,Technician - Analytical Sciences
487,Occidental Petroleum Corporation,,Drafting/Designer
488,HDR,,Mechanical EIT/Designer
489,Saint-Gobain,,Principal Scientist- Asphalt
490,"UGI Energy Services, LLC",$33 - $40 an hour,Pipeline Integrity & Corrosioin Engineer and/or Specialist
491,Oklahoma State University,,Assistant Professor
492,Aveva,,Senior Simulation Engineer - Practices
493,International United Technology Group,,Fracturing engineer
494,Energy Transfer Family of Partnerships,,Sr Engineer - Pipeline Integrity
495,BayoTech,,Sr. Scientist – Heat Transfer Expert
496,International United Technology Group,,Reservoir engineer
497,U.S. SILICA,,"Vice President - Sales & Marketing, Oil & Gas"
498,Phillips 66,,Instrument Technician - Alliance Refinery
499,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
500,BayoTech,,Sr. Scientist – Heat Transfer Expert
501,Gardner Denver Petroleum,,Development Engineer
502,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
503,Oklahoma State University,,Assistant Professor
504,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
505,International United Technology Group,,Fracturing engineer
506,HDR,,Mechanical EIT/Designer
507,Axens North America,,Technology Engineer
508,Aveva,,Senior Simulation Engineer - Practices
509,International United Technology Group,,Reservoir engineer
510,S&P Global,"$46,200 - $155,900 a year","Analyst, Carbon Analytics"
511,"UGI Energy Services, LLC",$33 - $40 an hour,Pipeline Integrity & Corrosioin Engineer and/or Specialist
512,Collarini Energy Experts,,Reservoir Engineer
513,DeGolyer and MacNaughton,,Senior Completion Engineer –
514,DNV GL AS,,Summer Engineering Intern - Pipeline Hydraulics Consulting (...
515,Crimson Engineering INC,,NATURAL GAS PROCESSING ENGINEER
516,Barrios Technology,,Test Engineer - Entry Level (Temporary)
517,Team Inc.,,UR - Engineering - Intern
518,Clariant,,Technical Service Engineer
519,Phillips 66,,Technician - Renewables
520,AVEVA,,Senior Simulation Engineer
521,ProPetro Holding Corp,,HYDRAULIC FRACTURING ENGINEER
522,U.S. Navy,,
523,PG&E Corporation,,Senior Reservoir Engineer
524,"Vitus Energy, LLC","From $100,000 a year",Port Engineer
525,Gevo Inc.,,Plant Process Engineer
526,Scully Signal Company,,Systems Design Engineer
527,Phillips 66,,Instrument Technician - Alliance Refinery
528,National Renewable Energy Laboratory,"$31,600 - $50,600 a year","Summer Undergraduate Internship: Economic, Sustainability &..."
529,BayoTech,,Sr. Scientist – Heat Transfer Expert
530,Gardner Denver Petroleum,,Development Engineer
531,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
532,Oklahoma State University,,Assistant Professor
533,"Borets U.S., Inc.","$65,825 - $98,738 a year",Surveillance Engineer
534,International United Technology Group,,Fracturing engineer
535,HDR,,Mechanical EIT/Designer
536,Axens North America,,Technology Engineer
537,Aveva,,Senior Simulation Engineer - Practices
538,International United Technology Group,,Reservoir engineer
539,S&P Global,"$46,200 - $155,900 a year","Analyst, Carbon Analytics"
540,"UGI Energy Services, LLC",$33 - $40 an hour,Pipeline Integrity & Corrosioin Engineer and/or Specialist
541,Occidental Petroleum Corporation,,Drafting/Designer
542,Chemical & Industrial Engineering Inc,,PLANT DESIGN DESIGNER V
543,Occidental Petroleum Corporation,,Drafting/Designer
544,Phillips 66,,Technician - Analytical Sciences
545,Occidental Petroleum Corporation,,Supt Maintenance
546,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
547,Western Research Institute,"From $80,000 a year",Project Leader
