,company,salary,title
1173,Halben Llc,"$150,000 - $180,000 a year",Regional Sales Manager
1174,"AMETEK, Inc.",,Field Service Engineer- West
1175,aramcoservices,,Safety and Facilities Planning Specialist
1176,Merichem,,Sr. Process Engineer
1177,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
1178,RaceTrac,,Engineering Project Manager
1179,Central Ohio Technical College,,Engineering Technology (Oil & Gas)
1180,TFE Inc,,Scientist
1181,Ashland,,Senior Process Design Engineer
1182,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
1183,Chevron,,Hydroprocessing Proposals Engineer
1184,Argonne National Laboratory,,Senior Energy Systems Researcher – Petroleum and Natural Gas...
1185,USC,,"Instructional Lab Tech, Senior"
1186,BRS,,Project Environmental Specialist
1187,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
1188,Noble 8 LLC,,Process Instrument Sales Representative
1189,SLR Consulting,,Air Quality Project/Associate Engineer or Scientist
1190,University of Pittsburgh,,2020 ChemE Faculty
1191,"Vitus Energy, LLC","From $100,000 a year",
1192,US Department of Veterans Affairs,"$58,842 - $76,499 a year",Engineering Technician
1193,Occidental Petroleum Corporation,,Supt Maintenance
1194,Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,,Engineer
1195,Borets Company LLC,,Surveillance Engineer
1196,"Computerized Mudlogging Service, LLC",$13.00 - $17.25 an hour,Mudlogger/Wellsite Geologist
1197,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN (CIVIL)
1198,Phillips 66,,Technician - Renewables
1199,Occidental Petroleum Corporation,,Process Engineer
1200,Southern Company,,Chemical Technician - Plant Gaston
1201,CPA Global,,Patent Analyst - Chemistry (Remote Contractor)
1202,"Enterprise Engineering, Inc.",,Structural Project Engineer
1203,Diakon Solutions,"$75,000 - $83,000 a year",Associate Engineer/Chemist
1204,Kiely Family of Companies,,Project Engineer
1205,Upbeet,,Upbeet - Hiring Servers and Smoothie Makers!
1206,Vitus Marine / Vitus Energy,,Chief Engineer - Tugboat
